# Source File Name = manual_corpus.txt
#
# Memory Chunck Size = 4096
#
# Distance in byte,Number of matches,Total % of matches
#
32,36990,3.75732
64,45764,8.40587
96,41056,12.5762
128,33649,15.9941
160,33432,19.3901
192,28143,22.2487
224,28312,25.1246
256,25114,27.6756
288,25042,30.2192
320,22376,32.4921
352,22429,34.7704
384,20206,36.8228
416,20133,38.8679
448,18758,40.7732
480,18404,42.6427
512,16914,44.3607
544,16778,46.065
576,15753,47.6651
608,15682,49.258
640,14941,50.7757
672,14371,52.2354
704,13710,53.6281
736,13389,54.9881
768,13032,56.3118
800,12567,57.5883
832,12628,58.871
864,11610,60.0503
896,11531,61.2216
928,11229,62.3622
960,10854,63.4647
992,10474,64.5286
1024,10164,65.5611
1056,9972,66.574
1088,9800,67.5694
1120,9446,68.5289
1152,9282,69.4718
1184,8990,70.3849
1216,8728,71.2715
1248,8346,72.1193
1280,8332,72.9656
1312,7975,73.7757
1344,8009,74.5892
1376,7612,75.3624
1408,7348,76.1088
1440,7312,76.8515
1472,6997,77.5622
1504,6878,78.2609
1536,6604,78.9317
1568,6559,79.5979
1600,6483,80.2565
1632,6295,80.8959
1664,5985,81.5038
1696,5961,82.1093
1728,5623,82.6805
1760,5561,83.2454
1792,5708,83.8252
1824,5449,84.3786
1856,5251,84.912
1888,4915,85.4113
1920,4896,85.9086
1952,4860,86.4022
1984,4825,86.8924
2016,4557,87.3552
2048,4500,87.8123
2080,4555,88.275
2112,4226,88.7043
2144,4216,89.1325
2176,3959,89.5347
2208,4038,89.9448
2240,3804,90.3312
2272,3723,90.7094
2304,3646,91.0797
2336,3594,91.4448
2368,3414,91.7916
2400,3328,92.1296
2432,3239,92.4587
2464,3256,92.7894
2496,3088,93.1031
2528,3030,93.4108
2560,2874,93.7028
2592,2858,93.9931
2624,2781,94.2756
2656,2751,94.555
2688,2671,94.8263
2720,2665,95.097
2752,2534,95.3544
2784,2439,95.6021
2816,2328,95.8386
2848,2247,96.0669
2880,2200,96.2903
2912,2153,96.509
2944,1923,96.7043
2976,1895,96.8968
3008,1910,97.0908
3040,1815,97.2752
3072,1735,97.4514
3104,1686,97.6227
3136,1625,97.7878
3168,1553,97.9455
3200,1453,98.0931
3232,1443,98.2397
3264,1380,98.3799
3296,1258,98.5076
3328,1224,98.632
3360,1148,98.7486
3392,1040,98.8542
3424,1022,98.958
3456,1011,99.0607
3488,941,99.1563
3520,897,99.2474
3552,796,99.3283
3584,804,99.4099
3616,761,99.4872
3648,667,99.555
3680,676,99.6237
3712,577,99.6823
3744,511,99.7342
3776,430,99.7779
3808,420,99.8205
3840,380,99.8591
3872,329,99.8925
3904,287,99.9217
3936,235,99.9456
3968,203,99.9662
4000,142,99.9806
4032,122,99.993
4064,56,99.9987
4096,13,100
