# Source File Name = silicia_corpus.txt

# Memory Chunck Size = 2048

# Distance in byte,Number of matches,Total % of matches

32,2185096,18.4524
64,1184231,28.4528
96,1069545,37.4847
128,626827,42.7781
160,598406,47.8314
192,443527,51.5768
224,474742,55.5859
256,425612,59.18
288,364159,62.2552
320,293937,64.7374
352,257432,66.9113
384,264369,69.1439
416,220957,71.0098
448,230400,72.9554
480,191378,74.5715
512,211472,76.3573
544,173885,77.8257
576,177802,79.3272
608,162322,80.698
640,145319,81.9251
672,134422,83.0603
704,119464,84.0691
736,121014,85.091
768,107236,85.9966
800,110277,86.9279
832,94513,87.726
864,96648,88.5421
896,89503,89.298
928,88423,90.0447
960,79460,90.7157
992,78453,91.3782
1024,94667,92.1776
1056,74468,92.8065
1088,71443,93.4098
1120,64405,93.9537
1152,60714,94.4664
1184,52831,94.9125
1216,52607,95.3568
1248,46569,95.75
1280,47128,96.148
1312,40992,96.4942
1344,40599,96.837
1376,37744,97.1557
1408,33220,97.4363
1440,33275,97.7173
1472,29455,97.966
1504,29145,98.2121
1536,26512,98.436
1568,26170,98.657
1600,21726,98.8405
1632,20515,99.0137
1664,19306,99.1768
1696,16926,99.3197
1728,15628,99.4517
1760,13307,99.564
1792,12311,99.668
1824,9710,99.75
1856,8449,99.8213
1888,6687,99.8778
1920,5486,99.9241
1952,4197,99.9596
1984,2882,99.9839
2016,1615,99.9976
2048,289,100
