# Source File Name = manual_corpus.txt
#
# Memory Chunck Size = 4096
#
# Length in byte,Number of length,Total % of Length
#
1,0,0
2,0,0
3,0,0
4,38324,14.952
5,31064,27.0716
6,24841,36.7633
7,15909,42.9701
8,13212,48.1248
9,9645,51.8877
10,6988,54.6141
11,7237,57.4376
12,6002,59.7793
13,6487,62.3101
14,7604,65.2768
15,7253,68.1066
16,6932,70.8111
17,5916,73.1192
18,10010,77.0246
19,2689,78.0737
20,2433,79.0229
21,2345,79.9378
22,3538,81.3182
23,3449,82.6638
24,3179,83.9041
25,1960,84.6687
26,2965,85.8255
27,2395,86.7599
28,1260,87.2515
29,918,87.6097
30,1399,88.1555
31,842,88.484
32,1168,88.9397
33,572,89.1629
34,1320,89.6779
35,836,90.004
36,982,90.3871
37,768,90.6868
38,797,90.9977
39,681,91.2634
40,307,91.3832
41,963,91.7589
42,761,92.0558
43,629,92.3012
44,766,92.6001
45,460,92.7795
46,637,93.0281
47,475,93.2134
48,524,93.4178
49,676,93.6816
50,450,93.8571
51,564,94.0772
52,334,94.2075
53,545,94.4201
54,351,94.557
55,436,94.7272
56,322,94.8528
57,352,94.9901
58,891,95.3377
59,505,95.5348
60,325,95.6616
61,620,95.9034
62,521,96.1067
63,273,96.2132
64,306,96.3326
65,267,96.4368
66,402,96.5936
67,217,96.6783
68,250,96.7758
69,401,96.9323
70,268,97.0368
71,288,97.1492
72,256,97.2491
73,198,97.3263
74,199,97.404
75,140,97.4586
76,151,97.5175
77,213,97.6006
78,139,97.6548
79,235,97.7465
80,190,97.8206
81,296,97.9361
82,108,97.9783
83,74,98.0071
84,73,98.0356
85,147,98.093
86,88,98.1273
87,133,98.1792
88,232,98.2697
89,310,98.3906
90,161,98.4535
91,72,98.4815
92,127,98.5311
93,77,98.5611
94,38,98.576
95,59,98.599
96,120,98.6458
97,42,98.6622
98,35,98.6758
99,72,98.7039
100,44,98.7211
101,38,98.7359
102,44,98.7531
103,125,98.8019
104,108,98.844
105,33,98.8569
106,19,98.8643
107,31,98.8764
108,70,98.9037
109,23,98.9127
110,36,98.9267
111,42,98.9431
112,26,98.9532
113,31,98.9653
114,24,98.9747
115,21,98.9829
116,19,98.9903
117,16,98.9965
118,23,99.0055
119,59,99.0285
120,38,99.0434
121,129,99.0937
122,30,99.1054
123,40,99.121
124,21,99.1292
125,16,99.1354
126,28,99.1464
127,20,99.1542
128,32,99.1666
129,19,99.1741
130,9,99.1776
131,15,99.1834
132,16,99.1897
133,30,99.2014
134,18,99.2084
135,27,99.2189
136,23,99.2279
137,8,99.231
138,39,99.2462
139,10,99.2501
140,6,99.2525
141,8,99.2556
142,10,99.2595
143,10,99.2634
144,18,99.2704
145,12,99.2751
146,11,99.2794
147,9,99.2829
148,6,99.2852
149,6,99.2876
150,9,99.2911
151,33,99.304
152,7,99.3067
153,10,99.3106
154,12,99.3153
155,26,99.3254
156,14,99.3309
157,13,99.336
158,13,99.341
