# Source File Name = silicia_corpus.txt

# Memory Chunck Size = 2048

# Length in byte,Number of length,Total % of Length

1,0,0
2,0,0
3,0,0
4,2975946,25.1308
5,1916057,41.3113
6,1374471,52.9182
7,1298493,63.8835
8,581431,68.7935
9,333328,71.6084
10,297932,74.1243
11,311953,76.7586
12,195649,78.4108
13,145391,79.6386
14,248740,81.7391
15,318248,84.4266
16,113254,85.383
17,101588,86.2409
18,289372,88.6845
19,132080,89.7999
20,76630,90.447
21,81104,91.1319
22,110380,92.064
23,68990,92.6466
24,40088,92.9852
25,36326,93.2919
26,37218,93.6062
27,33792,93.8916
28,25656,94.1082
29,20938,94.285
30,62693,94.8145
31,39153,95.1451
32,21212,95.3242
33,34221,95.6132
34,15629,95.7452
35,14346,95.8663
36,11869,95.9666
37,10428,96.0546
38,12293,96.1584
39,10482,96.247
40,6248,96.2997
41,6327,96.3532
42,8211,96.4225
43,19858,96.5902
44,7459,96.6532
45,16017,96.7884
46,7999,96.856
47,5414,96.9017
48,4339,96.9383
49,3282,96.9661
50,3253,96.9935
51,3773,97.0254
52,7402,97.0879
53,12229,97.1912
54,6823,97.2488
55,32724,97.5251
56,14544,97.6479
57,42647,98.0081
58,25874,98.2266
59,14382,98.348
60,26307,98.5702
61,21788,98.7542
62,11336,98.8499
63,5161,98.8935
64,7064,98.9531
65,21705,99.1364
66,12114,99.2387
67,9545,99.3193
68,9594,99.4004
69,7115,99.4604
70,12251,99.5639
71,2662,99.5864
72,1864,99.6021
73,924,99.6099
74,1284,99.6208
75,2468,99.6416
76,1892,99.6576
77,688,99.6634
78,857,99.6706
79,862,99.6779
80,816,99.6848
81,722,99.6909
82,740,99.6971
83,426,99.7007
84,498,99.7049
85,478,99.709
86,839,99.7161
87,768,99.7226
88,498,99.7268
89,608,99.7319
90,847,99.739
91,362,99.7421
92,385,99.7454
93,321,99.7481
94,461,99.752
95,724,99.7581
96,325,99.7608
97,218,99.7627
98,216,99.7645
99,1041,99.7733
100,1250,99.7838
101,182,99.7854
102,237,99.7874
103,273,99.7897
104,285,99.7921
105,172,99.7935
106,225,99.7954
107,157,99.7968
108,168,99.7982
109,145,99.7994
110,359,99.8024
111,259,99.8046
112,230,99.8066
113,189,99.8082
114,150,99.8094
115,133,99.8105
116,108,99.8115
117,130,99.8126
118,176,99.814
119,163,99.8154
120,121,99.8164
121,170,99.8179
122,112,99.8188
123,83,99.8195
124,68,99.8201
125,80,99.8208
126,118,99.8218
127,117,99.8228
128,138,99.8239
129,73,99.8245
130,69,99.8251
131,63,99.8257
132,70,99.8262
133,109,99.8272
134,144,99.8284
135,89,99.8291
136,135,99.8303
137,54,99.8307
138,68,99.8313
139,64,99.8318
140,61,99.8324
141,58,99.8328
142,71,99.8334
143,81,99.8341
144,96,99.8349
145,50,99.8354
146,58,99.8359
147,55,99.8363
148,35,99.8366
149,43,99.837
150,77,99.8376
151,57,99.8381
152,53,99.8386
153,44,99.8389
